seq_id,admin,Label,EventSequence,token_anomaly_label
64920,cn599,0,"['22', '223', '100', '100', '100', '39', '39', '197', '39', '39', '39', '39', '39', '39', '136', '285', '49', '49', '49', '206', '119', '119', '32', '32', '32', '32', '32', '32', '241', '32', '32', '32', '32', '60', '60', '60', '60', '32', '49', '49', '133', '97', '97', '133', '96', '96', '96', '97', '38', '38', '38', '38', '38', '38', '38', '38', '38', '38', '38', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '32', '32', '279', '49', '49', '231', '130', '194', '284', '212', '117', '232', '208', '219', '50', '50', '50', '50', '50', '50', '93', '93', '93', '140', '140', '215', '35', '218', '205', '217', '226', '70', '117', '271', '67', '67', '67', '264', '35', '35', '274', '230', '70', '276', '293', '238', '191', '35', '221', '70', '57', '57', '116', '203', '283', '270', '228', '94', '130', '94', '94', '70', '229', '62', '62', '62', '62', '62', '62', '115', '115', '256', '246', '35', '95', '120', '209', '272', '204', '265', '224', '248', '255', '252', '220', '124', '124', '260', '121', '121', '125', '35', '240', '261', '294', '126', '112', '262', '258', '170', '136', '277', '268', '254', '210', '222', '129', '129', '214', '125', '123', '211', '123', '244', '65', '65', '65', '65', '120', '22', '22', '22', '134', '87', '87', '132', '132', '340', '282', '137', '137', '245', '239', '32', '28', '28', '28', '28', '28', '28', '28', '28', '32', '289', '273', '135', '135', '237', '77', '77', '77', '77', '364', '79', '79', '79', '79', '339', '363', '242', '266', '286', '57', '57', '57', '243', '64', '64', '64', '64', '64', '296', '250', '251', '95', '95', '281', '247', '310', '263', '68', '68', '68', '68']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28658,an77,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25072,an373,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
45323,an155,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45155,bn236,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
81265,an73,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
96390,an254,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
80606,bn273,0,"['10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0]"
60430,bn241,0,"['10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0]"
97860,bn164,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
61673,an12,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
29529,an28,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
56996,an251,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
64940,cn599,0,"['4', '1', '8', '1', '8', '29', '45', '46', '42', '47', '31', '22', '173', '171', '134', '83', '84', '4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89829,an463,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
33437,en258,0,"['4', '1', '8']","[0, 0, 0]"
65352,cadmin4,0,"['4', '1', '8']","[0, 0, 0]"
58076,bn234,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59699,bn217,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
97305,an446,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
97808,bn164,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86255,bn204,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61141,bn230,0,"['10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0]"
63749,dn612,0,"['4', '1', '8', '18']","[0, 0, 0, 0]"
89336,an428,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67834,an491,0,"['4', '1', '8']","[0, 0, 0]"
75664,an230,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28072,an108,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
98402,tbird-sm1,0,"['17', '19', '25', '14', '14', '12', '12', '13', '13', '26', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '17', '17', '19', '25', '14', '14', '12', '12', '13', '13', '14', '14', '14', '14', '12', '12', '12', '12', '13', '13', '13', '13', '26', '14', '12', '13', '17', '17', '19', '25', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '26', '14', '12', '13', '17', '17', '19', '25', '26', '14', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '13', '17', '17', '19', '25', '14', '14', '12', '12', '13', '13', '26', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '17', '17', '19', '25', '14', '12', '13', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '26', '17', '17', '19', '25', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '26', '14', '12', '13', '17', '17', '19', '25', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '26', '14', '12', '13', '17', '17', '19', '25', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '26', '14', '12', '13', '17', '17', '19', '25', '26', '14', '14', '14', '14', '14', '14', '14', '12', '12', '12', '12', '12', '12', '12', '13', '13', '13', '13']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83026,an273,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
51476,bn314,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
18357,bn251,0,"['10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
58990,an79,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
66916,badmin4,0,"['4', '1', '8', '1', '8', '47', '469', '29', '4', '45', '46', '42']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91278,an335,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
64004,dn567,0,"['4', '1', '8']","[0, 0, 0]"
26,dn30,1,"[20, 20, 7, 7, 6, 6, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 6, 20, 20, 20, 7, 7, 6, 6, 20, 20, 7, 7, 7, 6, 6, 6, 20, 20, 7, 6, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 6, 20, 20, 7, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 20, 20, 7, 7, 7, 6, 6, 6, 20, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 20, 7, 7, 6, 6, 6, 7, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 6, 20, 20, 7, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 20, 20, 7, 7, 7, 6, 6, 6, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 6, 20, 20, 7, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 7, 7, 6, 6, 20, 20, 7, 7, 6, 6, 7, 6, 20, 20, 7, 6, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 7, 6, 6, 20, 20, 7, 6, 20, 20, 20, 7, 7, 7, 6, 6, 6, 20, 7, 7, 6, 6, 20, 20, 20, 20, 7, 7, 7, 6]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
94994,aadmin1,0,"['1', '8', '29', '42', '4', '45', '46']","[0, 0, 0, 0, 0, 0, 0]"
83577,an632,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
93697,badmin1,0,"['1', '8', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '29', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '42', '4', '45', '46', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '1', '5', '5', '1', '5', '1', '1', '5', '5', '1', '5', '1', '5', '1', '5', '1', '5', '1', '1', '5', '5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6999,bn878,0,"['173', '190', '31']","[0, 0, 0]"
67715,an540,0,"['4', '1', '8']","[0, 0, 0]"
63437,an182,0,"['10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0]"
77051,an239,0,"['9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0]"
81424,an36,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
80730,an196,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
27091,an179,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
63543,en190,0,"['4', '1', '8']","[0, 0, 0]"
88577,an361,0,"['10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
34341,an494,0,"['1', '8', '4']","[0, 0, 0]"
17941,bn265,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62372,bn213,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
79140,bn247,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
14924,an975,0,"['31', '173', '298', '31', '177', '167', '187', '31', '168', '168', '34', '31', '31', '312', '190']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91194,bn180,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
98744,tbird-sm1,0,"['19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19', '19', '17', '19']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75663,an230,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61308,an362,0,"['10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
18861,bn222,0,"['10', '2', '9', '2']","[0, 0, 0, 0]"
67667,an540,0,"['4', '1', '8']","[0, 0, 0]"
35294,bn397,0,"['4', '1', '8']","[0, 0, 0]"
23087,an508,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
61692,an12,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
31702,bn561,0,"['1', '1', '5', '5', '1', '1', '5', '5', '1', '1', '5', '5', '1', '1', '5', '5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28070,an108,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
88501,an361,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31301,bn744,0,"['111', '34', '31', '31', '176', '106', '122', '295', '31', '31', '31', '87', '259', '35', '269', '257', '267', '103', '177', '173', '31', '31', '298', '31', '177', '167', '187', '34', '31', '312', '168', '168', '31', '190']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95083,aadmin1,0,"['1', '8', '29', '42', '4', '45', '46']","[0, 0, 0, 0, 0, 0, 0]"
79382,bn246,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
96056,an215,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
26231,an245,0,"['10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0]"
57484,bn211,0,"['10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
62852,an341,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89397,an428,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88066,bn166,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
90101,bn184,0,"['9', '2', '10', '2']","[0, 0, 0, 0]"
98126,an358,0,"['9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0]"
71945,badmin3,0,"['4', '1', '8']","[0, 0, 0]"
94588,aadmin1,0,"['1', '8', '29', '42', '4', '45', '46', '18', '16', '1', '5', '16', '16', '118', '58', '36', '36', '63', '16', '36', '58', '58', '36', '36', '63', '36', '58', '58', '36', '36', '63']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69955,bn575,0,"['22', '87', '87', '223', '100', '100', '100', '132', '132', '340', '282', '39', '39', '197', '39', '39', '39', '39', '39', '39', '137', '137', '245', '136', '285', '239', '32', '49', '49', '49', '206', '119', '119', '32', '32', '32', '32', '32', '32', '241', '32', '32', '32', '32', '60', '60', '60', '60', '32', '49', '49', '133', '97', '97', '133', '96', '96', '96', '97', '38', '38', '38', '38', '38', '38', '38', '38', '38', '38', '38', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '32', '32', '279', '49', '49', '231', '130', '273', '135', '135', '194', '284', '212', '117', '232', '208', '219', '50', '50', '50', '50', '50', '50', '93', '93', '93', '140', '140', '215', '35', '218', '237', '205', '217', '226', '70', '364', '79', '339', '363', '117', '242', '271', '67', '67', '67', '264', '35', '35', '274', '230', '70', '276', '266', '293', '238', '191', '35', '286', '221', '70', '57', '57', '57', '57', '57', '116', '203', '283', '270', '243', '228', '64', '64', '64', '64', '64', '94', '130', '94', '94', '296', '70', '229', '62', '62', '62', '62', '62', '62', '115', '115', '256', '246', '250', '251', '95', '35', '95', '120', '95', '209', '272', '204', '265', '224', '248', '255', '281', '252', '220', '124', '247', '124', '260', '121', '121', '310', '125', '35', '240', '261', '294', '68', '68', '68', '68', '126', '112', '127', '127', '71', '275', '73', '72', '69', '37', '37', '37', '37', '37', '37', '37', '37', '309', '163', '163', '262', '258', '68', '75', '170', '136', '110', '277', '329', '328', '333', '336', '268', '254', '210', '334', '335', '337']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60805,bn230,0,"['9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2', '10', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48380,bn511,0,"['10', '2', '9', '2', '10', '2', '9', '2', '10', '2', '9', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
