,EventId,ori_EventId,EventTemplate
31,1113,78a1eb08,mysql_install_db: Fill help tables
32,1109,1eb14da9,mysql_install_db: PLEASE REMEMBER TO SET A PASSWORD FOR THE MySQL root USER !
33,1110,63e3fcaf,mysql_install_db: Please report any problems with the /usr/bin/mysqlbug script!
34,1183,74911e3d,mysql_install_db: See the manual for more instructions.
35,1182,2b576887,mysql_install_db: Support MySQL by buying support/licenses at https://#<*>#
36,1181,b132e2cc,mysql_install_db: The latest information about MySQL is available on the web at
37,1180,8230ee39,"mysql_install_db: To do so, start the server, then issue the following commands:"
38,1179,47ca64b4,mysql_install_db: To start mysqld at boot time you have to copy support-files/mysql.server
39,1178,ea83e218,mysql_install_db: You can start the MySQL daemon with:
40,1177,d4848d77,mysql_install_db: You can test the MySQL daemon with the benchmarks in the 'sql-bench' directory:
41,1034,7470318e,mysql_install_db: cd <*> ; <*> <*>
42,1176,555151f9,mysql_install_db: http://#<*>#
43,1175,556e7c6b,mysql_install_db: to the right place for your system
44,1174,dd93b183,mysqld: Initializing MySQL database: succeeded
45,709,22e2262d,mysqld: <*> MySQL: succeeded
46,398,261937c1,<*> All rights reserved.
47,396,3d8bdb4f,<*> Copyright <*> Internet Systems Consortium.
48,397,4b1550ff,"<*> For info, please visit <*>"
49,385,fb5a4a2c,<*> Internet Systems Consortium DHCP <*> V<*>.<*>.<*>
50,330,4b6b5045,dhcpd: <*> on <*>
51,420,117cad63,dhcpd: Wrote <*> deleted host decls to leases file.
52,422,7dbcf546,dhcpd: Wrote <*> leases to leases file.
53,423,f29d8c56,dhcpd: Wrote <*> new dynamic host decls to leases file.
54,180,6b2dd5d0,kernel: audit(<*>.<*>:<*>): avc: denied { read <*> <*> <*> <*> <*> <*> <*> ino=<*> scontext=user_u:system_r:ntpd_t <*> <*>
55,369,b6295a27,logger: setup NTP client
56,167,58b821f6,ntpd: ntpd shutdown <*>
57,101,01b38d6b,kernel: <*> avc: denied { <*> } for pid=<*> <*> <*> <*> ino=<*> <*> <*> <*>
58,196,10a3f27c,"ntpd[<*>]: configure: keyword ""authenticate"" unknown, line ignored"
59,143,0b24e6e2,ntpd[<*>]: frequency initialized <*>.<*> PPM from /var/lib/ntp/drift
60,3,e77fd980,/apps/x<*>_<*>/system/ganglia-<*>.<*>.<*>/sbin/gmetad[<*>]: data_thread() got not answer from any <*> datasource
61,370,0af2de20,userhelper[<*>]: running '/usr/sbin/up<*>date --nox -i -f kernel-devel' with root privileges on behalf of 'root'
62,42,cd68409c,sendmail[<*>]: unable to qualify my own domain name <*> -- using short name
63,4,c1256636,<*> session closed for user <*>
64,45,5f52a3c3,"sendmail[<*>]: <*> <*> size=<*>, class=<*>, nrcpts=<*>, <*> relay=#<*>#@localhost"
65,46,b8672034,"sendmail[<*>]: <*> <*> <*> (<*>/<*>), <*> xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
66,365,6805d8dc,logger: Kickstart Install: TBIRD Dell FIRMWARE Update Module
67,366,064828e2,logger: Kickstart/Yast Install: Finished installation on localhost.localdomain
68,190,da6f0a4d,exiting on signal <*>
69,148,1f90f5c1,sshd[<*>]: Local disconnected: Connection closed.
70,149,1676e950,sshd[<*>]: connection lost: 'Connection closed.'
71,313,8b94b226,/apps/x<*>_<*>/system/ganglia-<*>.<*>.<*>/sbin/gmetad[<*>]: RRD_update <*> <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
72,40,2c096205,dhcpd: DHCPDISCOVER from <*> via eth<*>: network <*> no free leases
73,58,c4c87120,dhcpd: DHCPDISCOVER from <*> via eth<*>
74,36,e87d27ff,dhcpd: <*> <*> <*> <*> <*> via eth<*>
75,48,f66d1dc2,dhcpd: DHCPREQUEST for <*> (<*>) from <*> via eth<*>: unknown lease <*>.
76,63,a286b3cd,dhcpd: DHCPREQUEST for <*> (<*>) from <*> via eth<*>
77,521,0ae3f3cc,kernel: Lustre: <*> maximum lustre stack <*>
78,713,b908fcb5,kernel: Lustre: Echo OBD driver; #<*>#@#<*>#
79,575,07a82aca,"kernel: Lustre: OBD class driver Build Version: #<*>#-<*>-PRISTINE-.f<*>home.#<*>#.build.<*>.<*>.buildir.BUILD.lustre-kernel-<*>.<*>.<*>.lustre.linux-<*>.<*>.<*>-<*>smp, #<*>#@#<*>#"
80,574,ca2eebec,"kernel: Lustre: Routing socket NAL loaded (Routing disabled, initial mem <*>, incarnation <*>)"
81,675,f36e3bb5,<*> <*> <*> on port <*>
82,164,28b13b61,init: <*> to <*> <*>
83,166,8a37b05d,shutdown: shutting down for system <*>
84,31,022ad050,<*> <*> shutdown succeeded
85,312,1ded6d06,"<*> Caught signal <*>, un-registering and exiting."
86,673,a23ec9dd,<*> Shutting down <*> <*> succeeded
87,765,98632a86,nfsd: last server has exited
88,764,3046e06e,nfsd: unexporting all filesystems
89,122,4fababca,<*> <*> -TERM succeeded
90,295,9780e472,sshd[<*>]: Received signal <*>; terminating.
91,187,773ecd9d,ntpd[<*>]: ntpd exiting on signal <*>
92,298,1ea11931,xinetd[<*>]: Exiting...
93,87,1b8f1769,kernel:
94,223,457c6bce,<*> Intel(R) Xeon(TM) CPU <*>.<*>GHz stepping <*>
95,100,480d4e85,"kernel: <*> zone: <*> pages, LIFO batch:<*>"
96,132,c20efebe,kernel: Type: <*> ANSI SCSI revision: <*>
97,340,fa40eaff,kernel: Vendor: MegaRAID Model: LD <*> RAID<*> <*>G Rev: <*>
98,282,68b9aac5,kernel: Vendor: PE/PV Model: <*>x<*> SCSI BP Rev: <*>.<*>
99,39,1953a177,kernel: BIOS-e<*>: <*> - <*> <*>
100,197,6f0e333b,kernel: BIOS-e<*>: <*> - <*> (ACPI data)
101,137,ceec56b1,kernel: <*> kernel module initialized successfully
102,245,2bbc16eb,kernel: sda: sda<*> sda<*> sda<*> sda<*> < sda<*> sda<*> >
103,136,04271b97,kernel: <*> <*> public key <*>
104,285,a1a7e67b,"kernel: - User ID: Red Hat, Inc. (Kernel Module GPG key)"
105,239,b36ffaa1,kernel: ACPI wakeup devices:
106,32,acb4f802,kernel: ACPI: <*> <*> <*> <*>
107,49,7030c9eb,kernel: ACPI: <*> (v<*> DELL PE BKC <*> MSFT <*>) @ <*>
108,206,938d5a62,kernel: ACPI: HPET id: <*> base: <*>
109,119,dc545b7d,kernel: ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>
110,241,23d6d68c,kernel: ACPI: Interpreter enabled
111,60,a8f780c5,kernel: ACPI: LAPIC_NMI (acpi_id[<*>] high edge lint[<*>])
112,133,f779b898,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>
113,97,051b91c1,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>)
114,96,d9f4252a,"kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled."
115,38,45cde126,kernel: ACPI: PCI <*> <*> <*> <*>
116,28,ef9a2247,"kernel: ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>"
117,279,4f977175,kernel: ACPI: RSDP (v<*> DELL ) @ <*>
118,231,6a929fed,kernel: ACPI: Subsystem revision <*>
119,130,424cbc22,kernel: <*> Using <*> for <*> routing
120,289,626bedc0,kernel: Adding <*>k swap on <*> Priority:-<*> extents:<*>
121,273,5461f350,"kernel: Attached scsi disk sda at scsi<*>, channel <*>, id <*>, lun <*>"
122,135,e4e1410a,"kernel: Attached scsi generic sg<*> at scsi<*>, channel <*>, id <*>, lun <*>, type <*>"
123,194,d24971a8,kernel: BIOS-provided physical RAM map:
124,284,de6cb6cd,"kernel: Bootdata ok (command line is ro <*> tsc <*> console=ttyS<*>,<*> rhgb quiet)"
125,212,b16f3713,kernel: Booting processor <*>/<*> rip <*> rsp <*>
126,117,f4024c62,kernel: <*> <*> node <*> <*>
127,232,526c50ba,kernel: Brought up <*> CPUs
128,208,3dc273a1,kernel: Built <*> zonelists
129,219,bc9c4733,kernel: CPU<*>: Intel(R) Xeon(TM) CPU <*>.<*>GHz stepping <*>
130,50,939c7aaa,kernel: CPU: <*> <*> <*>
131,93,e9f253a5,"kernel: CPU: Trace cache: <*>K uops, L<*> D cache: <*>K"
132,140,3e695fc0,kernel: Calibrating delay loop... <*>.<*> BogoMIPS (lpj=<*>)
133,215,be546083,kernel: Capability LSM initialized as secondary
134,35,291b32be,kernel: <*> <*>
135,218,33e9578f,kernel: Console: colour VGA+ <*><*>
136,237,cf5a3ed8,kernel: Copyright (c) <*>-<*> Intel Corporation.
137,205,7085925a,kernel: DMI <*>.<*> present.
138,217,7a78c3e5,"kernel: Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
139,226,310e8c7e,<*> <*> <*>.<*> MHz <*> timer.
140,70,5d7a3b23,"<*> <*> hash table entries: <*> <*> <*>, <*> bytes)"
141,77,42458b26,"kernel: EXT<*> FS on sda<*>, internal journal"
142,364,aff812c1,kernel: EXT<*>-fs: <*> <*> <*> on readonly <*>
143,79,96e73028,kernel: EXT<*>-fs: mounted filesystem with ordered data mode.
144,339,25ce2420,kernel: EXT<*>-fs: recovery complete.
145,363,c5ca58cf,kernel: EXT<*>-fs: write access #<*># be enabled during recovery.
146,242,f724ae84,kernel: Freeing unused kernel memory: <*>k freed
147,271,04b0e55f,"kernel: IA<*> emulation $Id: sys_ia<*>.c,v <*>.<*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $"
148,67,f296aed1,"kernel: <*> <*> <*> <*> <*>, <*> <*>, <*> <*>"
149,264,6171ffc6,"kernel: IP: routing cache hash table of <*> buckets, <*>Kbytes"
150,274,4aecf7cd,kernel: Initializing Cryptographic API
151,230,eb2b4395,kernel: Initializing IPsec netlink socket
152,276,72761459,kernel: Intel E<*>/<*>/<*> detected.<<*>>pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
153,266,92274d2b,kernel: Intel(R) PRO/<*> Network Driver - version <*>.<*>.<*>-k<*>-NAPI
154,293,d633f2c0,"kernel: Kernel command line: ro <*> tsc <*> console=ttyS<*>,<*> rhgb quiet"
155,238,eb1b36a7,kernel: Linux agpgart interface v<*>.<*> (c) Dave Jones
156,191,49436935,kernel: Linux version <*> (#<*>#@#<*>#) (gcc version <*>.<*>.<*> <*> (Red Hat <*>.<*>.<*>-<*>.<*>)) #<*> SMP Tue <*> <*> <*>:<*>:<*> <*> <*>
157,286,14c89048,"kernel: Mellanox Tavor Device Driver is creating device ""InfiniHost<*>"" (domain=<*>, bus=<*>, devfn=<*>)"
158,221,72aa9288,"kernel: Memory: <*>k/<*>k available (<*>k kernel code, <*>k reserved, <*>k data, <*>k init)"
159,57,d985e453,kernel: NET: Registered protocol family <*>
160,116,62310222,<*> No <*> <*> found
161,203,32a9051d,kernel: No mptable found.
162,283,3ab50bb7,kernel: On node <*> totalpages: <*>
163,270,a59a6778,kernel: PCI-DMA: Using software bounce buffering for IO (SWIOTLB)
164,243,38b21eaf,kernel: PCI<*> PALO PBLO VPR<*> PBHI PICH
165,228,5aeb0866,kernel: PCI: Probing PCI hardware (bus <*>)
166,64,2cf88599,kernel: PCI: Setting latency timer of device <*> to <*>
167,94,09d4b499,kernel: PCI: <*> <*> <*> <*>
168,296,c25e6e75,kernel: PCI: cache line size of <*> is not supported by device <*>:<*>:<*>d.<*>
169,229,a4e9ac35,kernel: Placing software IO TLB between <*> - <*>
170,62,29768efd,kernel: Probing IDE interface ide<*>...
171,115,66f0c3f8,kernel: Processor #<*> <*>:<*> APIC version <*>
172,256,04db27d7,kernel: RAMDISK driver initialized: <*> RAM disks of <*>K size <*> blocksize
173,246,4a80f107,kernel: Real Time Clock Driver v<*>.<*>
174,250,cc67b77d,kernel: SCSI device sda: <*> <*>-byte hdwr sectors (<*> MB)
175,251,e3459eea,kernel: SCSI subsystem initialized
176,95,fddf8aa9,kernel: SELinux: <*> <*> <*>
177,120,48e386af,kernel: <*> <*> in <*> <*>
178,209,6e330cef,kernel: Security Scaffold v<*>.<*>.<*> initialized
179,272,6ff15345,"kernel: Serial: <*>/<*> driver $Revision: <*>.<*> $ <*> ports, IRQ sharing enabled"
180,204,afc9dcd4,kernel: <*> <*> <*> to <*>
181,265,237d6e0b,kernel: TCP: Hash tables configured (established <*> bind <*>)
182,224,7098cd63,"kernel: There is already a security framework initialized, register_security failed."
183,248,9bace712,"kernel: Total HugeTLB memory allocated, <*>"
184,255,f0e51646,kernel: Total of <*> processors activated (<*>.<*> BogoMIPS).
185,281,6b0df5fe,kernel: USB Universal Host Controller Interface driver v<*>.<*>
186,252,0e31d306,kernel: Uniform Multi-Platform E-IDE driver Revision: <*>.<*>alpha<*>
187,220,1103b0bf,kernel: Using ACPI (MADT) for SMP configuration information
188,124,c452eead,kernel: Using <*> APIC <*> <*>
189,247,cc762a2f,kernel: Using cfq io scheduler
190,260,a8d5ac29,kernel: VFS: Disk quotas dquot_<*>.<*>.<*>
191,121,b28eedff,kernel: Warning: <*> returned <*>!
192,310,3b0bfa0d,kernel: <*> find a suitable network device; setting lid_base to <*>
193,125,123274c0,kernel: <*> NMI <*> ... <*>
194,240,ab1c6946,kernel: audit: initializing netlink socket (disabled)
195,261,18a224f3,kernel: checking TSC synchronization across <*> CPUs: passed.
196,294,5bf2c94b,kernel: checking if image is initramfs... it is
197,263,cbc03264,kernel: device-mapper: <*>.<*>.<*>-ioctl (<*>-<*>-<*>) initialised: dm-#<*>#@#<*>#
198,68,afa76228,kernel: <*> <*> <*> for <*>
199,126,33f6b8ef,kernel: divert: not allocating divert_blk for non-ethernet device <*>
200,112,126fbcdf,kernel: <*> <*> <*> <*> driver
201,127,c7b39f33,kernel: e<*>: eth<*>: <*> <*> <*> <*> <*>
202,291,e51c06cf,kernel: e<*>: eth<*>: e<*>_watchdog: NIC Link is Up <*> Mbps Full Duplex
203,71,622b6888,kernel: <*> <*>:<*>:<*>d.<*>: <*> Host Controller
204,275,cc248507,"kernel: ehci_hcd <*>:<*>:<*>d.<*>: USB <*>.<*> enabled, EHCI <*>.<*>, driver <*>-May-<*>"
205,73,c2a99c39,"kernel: <*> <*>:<*>:<*>d.<*>: irq <*>, <*> <*> <*>"
206,72,4b381775,"kernel: <*> <*>:<*>:<*>d.<*>: new USB bus registered, assigned bus number <*>"
207,69,08975916,kernel: <*> no <*> <*> <*>
208,37,e6cca1af,kernel: hub <*>-<*>:<*>.<*>: <*> <*> <*>
209,309,b79baf12,kernel: hw_random hardware driver <*>.<*>.<*> loaded
210,163,99b70594,kernel: ib<*>: InfiniHost<*> port <*>
211,262,038cadf4,kernel: ide-floppy driver <*>.<*>.newide
212,258,aa201d2d,kernel: ide: Assuming <*>MHz system bus speed for PIO modes; override with idebus=xx
213,76,11033e2b,kernel: ip_tables: (C) <*>-<*> Netfilter core team
214,75,659999a9,kernel: kjournald starting. Commit interval <*> seconds
215,170,4c6eb91e,"kernel: klogd <*>.<*>.<*>, log source = /proc/kmsg started."
216,110,735485de,kernel: md: <*> <*> <*>
217,188,89a27d49,kernel: md: autorun ...
218,277,64a12c3f,"kernel: md: md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
219,329,5dc4f63b,kernel: megaraid cmm: #<*># (Release Date: Mon Mar <*> <*>:<*>:<*> EST <*>)
220,328,029cab00,<*> <*> <*> (Release Date: <*> <*> <*> <*>:<*>:<*> EST <*>)
221,333,830573d6,kernel: megaraid: <*> <*> <*> <*>
222,336,00e85026,kernel: megaraid: probe new device <*>:<*>:<*>:<*>: bus <*>:slot <*>:func <*>
223,268,692fda48,kernel: mice: PS/<*> mouse device common for all mice
224,254,15bb8344,kernel: mtrr: v<*>.<*> (<*>)
225,210,4f1a5442,kernel: per-CPU timeslice cutoff: <*>.<*> usecs.
226,334,212b93a1,kernel: scsi<*> : LSI Logic MegaRAID driver
227,335,5aa63ef4,kernel: scsi[<*>]: scanning scsi channel <*> [Phy <*>] for non-raid devices
228,337,3077db5d,kernel: scsi[<*>]: scanning scsi channel <*> [virtual] for logical drives
229,331,15c2739d,kernel: sda: asking for cache data failed
230,332,2b98a6e1,kernel: sda: assuming drive cache: write through
231,222,e293f090,kernel: selinux_register_security: Registering secondary module capability
232,129,5729d895,"kernel: serio: i<*> <*> port at <*>,<*> irq <*>"
233,214,018d21d9,kernel: task migration cache decay timeout: <*> msecs.
234,123,a27d2c08,kernel: time.c: <*> <*> <*> <*>
235,211,3b32a8ee,kernel: time.c: Using <*>.<*> MHz HPET timer.
236,299,6b96c8c2,kernel: <*> module license <*> taints kernel.
237,244,34a9a1fe,kernel: ttyS<*> at I/O <*> (irq = <*>) is a <*>
238,253,fa1eb1e4,kernel: usb <*>-<*>: new <*> speed USB device using address <*>
239,65,aaca8eb7,kernel: <*> <*> <*> driver <*>
240,292,72e624fd,rpc.statd[<*>]: Version <*>.<*>.<*> Starting
241,134,ba8c8bea,syslogd <*>.<*>.<*>: restart.
242,88,7d649c61,<*> Starting <*> succeeded
243,193,c853c850,ts_fixup:
244,192,dad84508,ts_fixup: Creating Topspin /dev entries:
245,202,b9e65f0f,date: <*> <*> <*> <*>:<*>:<*> MST <*>
246,80,99042191,"fsck: <*> clean, <*>/<*> files, <*>/<*> blocks"
247,185,4d359676,fsck: <*> recovering journal
248,201,1c7d7839,fsck: Checking all file systems.
249,85,4aa746fd,fsck: [/sbin/fsck.ext<*> (<*>) -- <*> fsck.ext<*> -a /dev/sda<*>
250,200,506e579e,init: Entering runlevel: <*>
251,216,286d6556,kernel: i<*>c /dev entries driver
252,160,60e85558,<*> bindcache: failed init IPS: <*> (Out of memory)
253,326,c9389826,"<*> pan_ips: error -- <*> <*> <*> <*> <*> <*> <*> err_loc=<*>, <*>"
254,361,ee8341a4,"<*> pan_ips: error -- <*> <*> <*> <*> <*> <*> err_loc=<*>, <*>"
255,150,58c8ed9a,mount: <*> <*> <*> <*> <*> <*> (Out of memory)
256,409,96a11a4a,mount: mount.panfs error: mount request rejected because client-realm clock skew exceeds <*> seconds
257,109,f74e8f71,<*> Mounting <*> filesystems: <*>
258,98,64f14973,network: Bringing up <*> <*> <*>
259,114,a6457ba7,<*> <*> <*> parameters: succeeded
260,198,5ac4bb46,rc.sysinit: -e
261,195,6c1f1809,rc.sysinit: Checking filesystems succeeded
262,92,5b6d0c75,rc.sysinit: <*> <*> <*> succeeded
263,207,953b8806,rc.sysinit: Enabling local filesystem quotas: succeeded
264,287,2d02c219,rc.sysinit: Remounting root filesystem in read-write mode: succeeded
265,199,c603eff3,rc.sysinit: Setting clock (localtime): <*> <*> <*> <*>:<*>:<*> MST <*> succeeded
266,227,3878431b,rc.sysinit: Setting up Logical Volume Management: succeeded
267,176,31892c19,smartd: smartd <*> failed
268,249,1742c93c,smartd[<*>]: Configuration file /etc/smartd.conf parsed.
269,321,40d4faf3,"smartd[<*>]: Device: /dev/sda, Bad IEC (SMART) mode page, err=<*>, skip device"
270,235,a483fe6a,"smartd[<*>]: Device: /dev/sda, opened"
271,236,b0d75193,smartd[<*>]: Home page is http://#<*>#/
272,233,6a35fa1a,smartd[<*>]: Opened configuration file /etc/smartd.conf
273,319,06e3d8e4,smartd[<*>]: Unable to register SCSI device /dev/sda at line <*> of file /etc/smartd.conf
274,317,4686d806,smartd[<*>]: Unable to register device /dev/sda (no Directive -d removable). Exiting.
275,234,c2e86ee8,smartd[<*>]: smartd version <*>.<*> [x<*>_<*>-redhat-linux-gnu] Copyright (C) <*>-<*> Bruce Allen
276,21,aafa8e92,sysctl: <*> = <*>
277,184,2131482c,udevsend[<*>]: starting udevd daemon
278,711,f65ddfd0,<*> Unmounting <*> filesystems (retry): succeeded
279,44,efa54bb5,instsvcdrv: <*> device driver <*>
280,171,5bdd2c2c,snmpd[<*>]: NET-SNMP version <*>.<*>.<*>
281,90,272b4c4d,Server Administrator: Instrumentation Service EventID: <*> Server Administrator starting
282,91,7ca0b468,Server Administrator: Instrumentation Service EventID: <*> Server Administrator startup complete
283,182,874ee7ab,kernel: Disabled Privacy Extensions on device <*>
284,178,4936a5c6,sshd[<*>]: Server listening on <*> port <*>.
285,181,0def1d3b,sshd[<*>]: error: Bind to port <*> on <*> failed: Address already in use.
286,30,06d257e9,xinetd[<*>]: Reading included configuration file: <*> <*> [line=<*>]
287,189,eb85b05f,xinetd[<*>]: Started working: <*> available <*>
288,33,632c91e3,xinetd[<*>]: removing <*>
289,225,3d3aafb9,xinetd[<*>]: xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.
290,186,8dec7041,crond[<*>]: (CRON) STARTUP (V<*>.<*>)
291,83,19954342,snmpd[<*>]: [smux_accept] accepted fd <*> from <*>:<*>
292,84,bda34b20,"snmpd[<*>]: accepted smux peer: oid SNMPv<*>-SMI::enterprises.<*>.<*>.<*>, password , descr Systems Management SNMP MIB Plug-in Manager"
293,213,2a6949eb,fstab-sync[<*>]: removed all generated mount points
294,590,0e6829f8,nfslock: lockd -KILL succeeded
295,914,43739410,RPC: failed to contact portmap (errno -<*>).
296,913,26db9173,RPC: sendmsg returned error <*>
297,895,7a6af4ac,killall:
298,906,8af0218c,killall: Shutting down GANGLIA gmetad:
299,904,6de88e4a,killall: Stopping syslog-ng:
300,903,f92c75fb,killall: [
301,912,1a698454,portmap: RPC call returned error <*>
302,698,56df442e,syslog-ng[<*>]: syslog-ng version <*>.<*>.<*> going down
303,144,d016dbcf,sshd[<*>]: connection from <*>
304,408,71e244d7,sshd[<*>]: <*> <*> <*> for user <*> <*>
305,463,5722f75f,sshd[<*>]: Password authentication for user #<*># accepted.
306,367,f928dc03,logger: Install: apply updates
307,303,c801ae41,logger: Kickstart: <*> <*> <*>
308,368,0b2f419c,userhelper[<*>]: running '/usr/sbin/up<*>date-config' with root privileges on behalf of 'root'
309,304,8c3225e8,logger: Kickstart Install: <*> <*>
310,34,3e60814d,<*> <*> shutdown failed
311,461,aa851180,logger: Install: Removing tftpboot installation link from <*>
312,300,c21b0de9,spsetup.sh[<*>]: Package Release ID=R<*> Package Description=Dell <*> <*> <*> A<*> Support Log path=/var/log/#<*>#/updatepackage/log/support/R<*>.log Exit code = <*> <*> <*>
313,2,bcf72cf0,snmpd[<*>]: Got trap from peer on fd <*>
314,962,b7c8c405,logger: installing panasas drivers
315,151,3f1d82b3,kernel: PanFS Client version: rhel_<*>_amd<*>/release <*> SMP
316,159,1aaf00d5,kernel: pan_common: <*> <*>
317,158,b75c7416,kernel: pan_common: registered major number <*> for device panasas
318,103,27629e33,"kernel: pan_kmod: <*> subdev <*> (""PANASAS kernel trace facility"")"
319,156,9b2c7eea,kernel: pan_trace: panfs trace buffer <*> added.
320,155,289a748a,kernel: panfs mount: Byte range locking is turned ON
321,86,6f8bafc7,kernel: panfs mount: <*> <*> <*> <*> <*>
322,154,d5e06e89,"kernel: panfs mount: If you are running a GenuineIntel kernel, you may get an oops."
323,153,5a408546,kernel: panfs mount: Read Ahead is turned ON at level <*>
324,152,c0c7da23,kernel: panfs mount: loading a AuthenticAMD CPU panfs.o kernel module on a GenuineIntel CPU
325,175,a722b35b,"kernel: <*> no version for ""struct_module"" found: kernel tainted."
326,113,aa1ee2c6,<*> mount.panfs: started PanFS device [panfs://#<*>#/home]
327,9,5e3e6435,Server Administrator: Instrumentation Service EventID: <*> Temperature sensor <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> Temperature sensor value (in Degrees Celsius): <*>.<*>
328,343,9b903e7b,Server Administrator: Instrumentation Service EventID: <*> Temperature sensor <*> <*> <*> <*> <*> <*> <*> <*> Temp Chassis location: Main System Chassis Previous state was: Unknown Temperature sensor value (in Degrees Celsius): <*>.<*>
329,338,8f75cd97,/apps/x<*>_<*>/system/ganglia-<*>.<*>.<*>/sbin/gmetad[<*>]: RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
330,879,7003324f,ntpd[<*>]: synchronisation lost
331,8,e818a5b5,crond[<*>]: (root) CMD <*> <*>
332,146,8badfe51,sshd[<*>]: User <*> coming from <*> authenticated.
333,145,a7053aad,sshd<*>[<*>]: Now running on <*> privileges.
334,174,d759140d,"smartd[<*>]: Device: /dev/sda, Temperature changed <*> Celsius to <*> Celsius since last report"
335,456,f4c4217f,syslog-ng[<*>]: STATS: dropped <*>
336,414,bf17d701,pam_limits[<*>]: process_limit: processing <*> <*> <*> for DEFAULT
337,533,71694b75,pam_limits[<*>]: reading settings from '/etc/security/limits.conf'
338,485,45e9b671,ntpd[<*>]: time reset <*> s
339,607,a6252f6d,snmpd[<*>]: Received SNMP packet(s) from #<*>#
340,678,91ff843a,<*> <*> public key <*>
341,848,a5cbd7ca,- User ID: CentOS-<*> (Kernel Module GPG key)
342,779,b218fa4c,ACPI wakeup devices:
343,778,b02927c2,ACPI: (supports S<*> S<*> S<*>)
344,579,8b006a51,ACPI: <*> (v<*> DELL PE BKC <*> MSFT <*>) @ <*>
345,794,f69dda74,ACPI: HPET id: <*> base: <*>
346,694,9a84455b,ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>
347,645,1fbba207,ACPI: IOAPIC (id[<*>] address[<*>] gsi_base[<*>])
