EventId,Raw_Event_id,EventTemplate,Occurrences,short_temp,prediction
19,fac2c191,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_<*> on <*>:50010 size <*>,975,Redundant addStoredBlock request received.,Abnormal
20,4ed2a0c0,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010 <*>:50010,165,Replicate block to datanodes.,Normal
21,5e47c5c3,"<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010, <*>:50010",165,Starting thread to transfer block.,Normal
22,1995da3b,Exception in receiveBlock for block blk_<*> java.io.IOException: Connection reset by peer,75,Error in receiveBlock for block.,Abnormal
23,1d48c538,writeBlock blk_<*> received exception java.io.IOException: Connection reset by peer,75,writeBlock exception: Connection reset.,Abnormal
24,b3ef6470,writeBlock blk_<*> received exception <*>,67,Exception received in writeBlock.,Abnormal
25,ceedf750,Changing block file offset of block blk_<*> from 0 to <*> meta file offset to <*>,65,Change block file offset.,Normal
26,caed8b80,Exception in receiveBlock for block blk_<*> <*>,56,Error in receiveBlock function.,Abnormal
27,6f83a284,PendingReplicationMonitor timed out block blk_<*>,47,Block replication monitor timed out.,Abnormal
28,5832ad42,<*>:50010:Exception writing block blk_<*> to mirror <*>:50010,34,Error writing block to mirror.,Abnormal
29,c859931b,PacketResponder blk_<*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010]. <*> millis timeout left.,33,PacketResponder interrupted while waiting for IO.,Abnormal
30,5ac8245b,PacketResponder blk_<*> <*> Exception <*>,29,PacketResponder Exception occurred.,Abnormal
31,190eb501,PacketResponder blk_<*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],22,SocketTimeoutException waiting for channel.,Abnormal
32,f8ba9329,Exception in receiveBlock for block blk_<*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,16,Error in receiveBlock due to interrupted IO.,Abnormal
33,47b367ea,writeBlock blk_<*> received exception java.io.IOException: <*> <*>,16,writeBlock received IOException,Abnormal
34,1ff93be5,writeBlock blk_<*> received exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],15,writeBlock received SocketTimeoutException: timeout waiting for channel.,Abnormal
35,72988c9b,PacketResponder blk_<*> <*> Exception java.io.IOException: Connection reset by peer,11,PacketResponder encountered IOException.,Abnormal
36,78ad37b3,Adding an already existing block blk_<*>,10,Add existing block.,Normal
37,ffa3fe68,"writeBlock blk_<*> received exception java.io.IOException: Block blk_<*> is valid, and cannot be written to.",9,Block write exception: block is valid.,Normal
38,60600882,<*>:50010:Failed to transfer blk_<*> to <*>:50010 got java.io.IOException: Connection reset by peer,9,Failed to transfer block due to connection reset.,Abnormal
39,b55f27b2,writeBlock blk_<*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,7,writeBlock exception: InterruptedIOException.,Abnormal
40,9111794a,PacketResponder blk_<*> <*> Exception java.io.IOException: Broken pipe,6,PacketResponder IOException: Broken pipe.,Abnormal
41,ebe1d2fb,PacketResponder blk_<*> 1 Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.,5,PacketResponder Exception InterruptedIOException waiting SocketChannel closed.,Abnormal
42,a26fadbc,Exception in receiveBlock for block blk_<*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],5,SocketTimeoutException in receiveBlock.,Abnormal
43,f52097f4,Reopen Block blk_<*>,5,Reopen block.,Normal
44,0d527039,BLOCK* Removing block blk_<*> from neededReplications as it does not belong to any file.,4,Remove block from neededReplications.,Normal
45,17ee882d,Exception in receiveBlock for block blk_<*> java.io.IOException: Broken pipe,3,Error in receiveBlock for block.,Abnormal
46,fb314c6d,PacketResponder blk_<*> 1 Exception java.io.IOException: The stream is closed,2,PacketResponder Exception: stream closed.,Abnormal
47,0555f7e9,writeBlock blk_<*> received exception java.net.NoRouteToHostException: No route to host,1,writeBlock received NoRouteToHostException.,Abnormal
