seq_id,BlockId,EventSequence,Label
530938,blk_-4519404938877796682,"[1, 1, 1, 7, 2, 3, 4, 3, 4, 3, 4, 2, 2]",0
149096,blk_-3117433320806504764,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 8, 9, 8, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
139216,blk_5208417551106676012,"[1, 7, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
360117,blk_-7697761608606307261,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
114397,blk_-7425940396915868199,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5]",0
322236,blk_2995822630727582779,"[1, 3, 4, 1, 1, 2, 2, 7, 2, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
363352,blk_-5286907502600457646,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
135124,blk_9161615587851990852,"[1, 7, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 8, 9, 6, 6, 6, 5, 5, 5]",0
90143,blk_5788723455954327646,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 8, 9, 8, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
434281,blk_2083163054131348951,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
549196,blk_1773063083669953560,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
305713,blk_3303670035781836385,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
167908,blk_-1287792312227928866,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 8, 8, 9, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
308305,blk_8867144372086297742,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
224993,blk_-964432988209367282,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
359745,blk_8011784834780877126,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
353544,blk_8783466923051842879,"[1, 1, 7, 1, 3, 4, 2, 3, 4, 2, 3, 4, 2]",0
540473,blk_-1798105083205859066,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
114793,blk_7564156565875067035,"[7, 1, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 10, 6, 6, 6, 5, 5, 5]",0
487944,blk_-1715851440276088550,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
70638,blk_2004711480266533139,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 8, 9, 8, 8, 8, 9, 9, 8, 8, 9, 8, 8, 6, 6, 6, 5, 5, 5]",0
203865,blk_-7515214845415423554,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]",0
92326,blk_5609751068038704159,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 8, 8, 8, 8, 8, 8, 6, 6, 6, 5, 5, 5]",0
195900,blk_-7145785878173059687,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]",0
170374,blk_-6716292917421363362,"[7, 1, 1, 1, 2, 3, 4, 3, 4, 3, 4, 2, 2, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
323804,blk_1567958617757311060,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
172600,blk_-3128799902576222451,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 8, 9, 8, 10, 6, 6, 6, 5, 5, 5]",0
243922,blk_-255686118691362046,"[1, 1, 1, 7, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
550755,blk_-3687341354424752782,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
163243,blk_-654831554495270791,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
255894,blk_-71695544440494116,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
460456,blk_-8801460673787865404,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
535547,blk_-7895099594831722591,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
145345,blk_-6923032434741299247,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
491506,blk_-1964179409974908858,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
372535,blk_416820537165342661,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
366187,blk_-4028652682467626830,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
187835,blk_-4196114639104023494,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
451956,blk_-5785197534929356493,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
446036,blk_8542672784813360105,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
234888,blk_-4719086504803764068,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
535465,blk_3014622398001070257,"[1, 7, 1, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2]",0
351259,blk_-65417490880151042,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
358212,blk_-4022506076110052353,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
537962,blk_-5608484503047709882,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
251326,blk_2801385254725617824,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
190296,blk_5385885477112377536,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 6, 6, 6, 5, 5, 5]",0
298809,blk_-7434393249853233201,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
136157,blk_-4664317143589004267,"[1, 7, 1, 1, 2, 3, 4, 3, 4, 3, 4, 2, 2, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
211943,blk_6924437598486279639,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
468677,blk_-5759076775251077601,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
405395,blk_-969566720558937084,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
355384,blk_4243115946964545930,"[1, 1, 7, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2]",0
403535,blk_-9027032209825214080,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
36696,blk_-4798096917143407391,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
556101,blk_9145294785266269120,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
93345,blk_5433364672832377685,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 8, 8, 9, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
94640,blk_7689506236054626669,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 8, 9, 8, 8, 9, 8, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
152449,blk_-2610256770731596149,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 2, 2, 3, 4, 8, 8, 9, 13, 14, 27, 13, 14, 1, 2, 11, 12, 2, 5, 13, 14, 1, 12, 11, 2, 2, 5, 8, 8, 9, 6, 6, 6, 5, 5, 5]",1
224095,blk_-8303875255834157769,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
62469,blk_4654159811477959448,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
549283,blk_-3458898658650205972,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
121722,blk_-1026153665786507330,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 6, 6, 6, 5, 5, 5]",0
173556,blk_1399810257322604343,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
240117,blk_-322908394173242510,"[1, 1, 7, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
182676,blk_-5876071865257257793,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
321537,blk_3338969905830823864,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
213809,blk_8553078921228855772,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
553541,blk_-6354385183152381053,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
445698,blk_-6742824129833075421,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
445473,blk_2899244146971120722,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
358591,blk_7752221793690665875,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
456100,blk_-2580580843632256311,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
480510,blk_3878344551154362462,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
188918,blk_-2411906566361360776,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
343343,blk_8118834400491558070,"[1, 7, 1, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2]",0
272093,blk_-8562410008723753353,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
419034,blk_-774875967155040155,"[1, 7, 1, 1, 4, 3, 4, 3, 4, 2, 2, 2, 3, 6, 6, 6, 5, 5, 5]",0
244989,blk_971336200642467686,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
184726,blk_-8960054626721695819,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]",0
520172,blk_-1523265184528312677,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
472213,blk_-7633056609503472539,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
137255,blk_4195143116363549252,"[1, 7, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
247402,blk_4559359969926716937,"[1, 7, 1, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
281156,blk_7049312422974188644,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 6, 6, 6, 5, 5, 5]",0
230645,blk_702438049392098871,"[1, 7]",1
442436,blk_-1551128657600847064,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 13, 14, 1, 12, 11, 2, 2, 5, 6, 6, 6, 5, 5, 5]",1
211044,blk_308918208346894779,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
37881,blk_-3241244719436945881,"[7, 1, 1, 1, 2, 4, 2, 2, 3, 4, 3, 3, 4, 6, 6, 6, 5, 5, 5]",0
271331,blk_1316407900824605322,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
453536,blk_2575857214101374640,"[1, 1, 1, 7, 3, 4, 3, 4, 4, 2, 2, 2, 3, 6, 6, 6, 5, 5, 5]",0
384347,blk_602000536687980817,"[1, 7, 1, 1, 3, 4, 2, 3, 4, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
211776,blk_-6343090439391909016,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
225040,blk_-7277173502880525483,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
442231,blk_6994226001306514384,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 3, 4, 2, 2, 6, 6, 6, 5, 5, 5]",0
98371,blk_-5843184516223534096,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 8, 8, 9, 8, 9, 8, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
94094,blk_-6724338790947265372,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 10, 8, 9, 8, 8, 9, 8, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
473634,blk_6551572241079588073,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
278150,blk_-1589809627544206319,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
131388,blk_6523925945294313691,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
6100,blk_-4326456922360432715,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5]",0
32877,blk_305017983755355047,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 8, 9, 6, 6, 6, 5, 5, 5]",0
499716,blk_-5494839781056854244,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
19023,blk_-2028529224924954507,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 6, 6, 6, 5, 5, 5]",0
293484,blk_2074762806013836276,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
363908,blk_-8304947302137702590,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
246762,blk_2294174931094251832,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
397827,blk_-7221418159600909842,"[1, 7, 1, 1, 3, 4, 3, 4, 4, 2, 2, 2, 3, 6, 6, 6, 5, 5, 5]",0
90937,blk_-1451525294012760766,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 8, 8, 9, 8, 8, 9, 8, 8, 9, 6, 6, 6, 5, 5, 5]",0
174195,blk_-6202389406379308506,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
335815,blk_-7147972301185934361,"[1, 7, 1, 1, 4, 3, 4, 3, 4, 2, 2, 2, 3]",0
523805,blk_-3904730793324765883,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
482419,blk_159391206323763621,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
569758,blk_-1211008147023673621,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
296759,blk_-4971419050533275077,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 6, 6, 6, 5, 5, 5]",0
488637,blk_-1265882766644603082,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
45069,blk_3923087932887990175,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 6, 6, 6, 5, 5, 5]",0
370720,blk_6639696687845337435,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5, 15]",1
391987,blk_-2841438749143880756,"[7, 1, 1, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 6, 6, 6, 5, 5, 5]",0
541574,blk_6435392526361087949,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
280619,blk_8690846969190239763,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
244478,blk_3034891626712535594,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
18656,blk_-4274170861534766298,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 5]",0
377021,blk_-1999101094253621761,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
386647,blk_5830249877985812467,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
228792,blk_-6206005920059987431,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
240917,blk_-4430615111001978222,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
165607,blk_-2081841276120379793,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 8, 8, 9, 8, 9, 8, 6, 6, 6, 5, 5, 5]",0
475549,blk_-7834959708496693474,"[7, 1, 1, 1, 3, 4, 4, 2, 3, 4, 3, 2, 2]",0
190103,blk_6793881758256401037,"[1, 1, 1, 7, 4, 2, 3, 4, 3, 4, 3, 2, 2, 6, 6, 6, 5, 5, 5]",0
347939,blk_5452434181817387038,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
463768,blk_8705023042811933789,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
105284,blk_-1465005031039080868,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 6, 6, 6, 5, 5, 5]",0
272679,blk_142508303591414411,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
372582,blk_959547683777360919,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 6, 6, 6, 5, 5, 5]",0
163244,blk_-5221913589007829702,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 2, 2, 3, 4, 8, 8, 9, 13, 14, 1, 12, 11, 2, 2, 5, 13, 1, 14, 12, 11, 2, 2, 5, 10, 8, 8, 9, 6, 6, 6, 5, 5, 5]",1
298938,blk_-5568083813565748267,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 6, 6, 6, 5, 5, 5]",0
351530,blk_3039948183086697035,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
336078,blk_8680170079053467004,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2]",0
